date,customer_id,PK,product,issue_type,handling_time_seconds,agent_id,conversation_notes
1/9/2024,CUS_6489,CUS_6489-1,iPhone 14,Technical Support,166,Agent_012,camera related call. Customer experiencing camera app keeps crashing. Suggested restored default camera config as per protocol. resolved. Customer feedback: satisfied.
1/9/2024,CUS_9519,CUS_9519-1,iPhone 15,Technical Support,544,Agent_009,Incoming call - screen problems. Customer reported touch sensitivity issues. Had them try removed recently installed apps. Issue escalated but customer was somewhat satisfied.
1/9/2024,CUS_4614,CUS_4614-1,iPhone 15,Technical Support,323,Agent_019,Customer reached out regarding screen not working properly - weird lines across display. Provided troubleshooting steps: removed recently installed apps. unresolved. Note: customer seemed satisfied.
1/10/2024,CUS_7589,CUS_7589-1,iPhone 15,Technical Support,823,Agent_009,Customer service call about screen. Main complaint: touch really inconsistent. Walked them through adjusted touch sensitivity. Status: unresolved. Customer was satisfied with support.
1/11/2024,CUS_1125,CUS_1125-1,iPhone 15,Technical Support,886,Agent_002,battery related call. Customer experiencing won't charge past 20%. Suggested disabled battery-heavy apps as per protocol. resolved. Customer feedback: unsatisfied.
1/11/2024,CUS_7873,CUS_7873-1,iPhone 15,Technical Support,724,Agent_007,Customer service call about screen. Main complaint: weird lines across display. Walked them through removed recently installed apps. Status: escalated. Customer was unsatisfied with support.
1/12/2024,CUS_9366,CUS_9366-1,Pixel 8,Technical Support,207,Agent_008,"Cust called about camera issues. Says front camera not working. Walked through factory reset device. unresolved, customer unsatisfied with result."
1/13/2024,CUS_2711,CUS_2711-1,iPhone 14,Technical Support,152,Agent_011,"Cust called about battery issues. Says gets really hot while charging. Walked through checked for rogue apps. escalated, customer unsatisfied with result."
1/13/2024,CUS_4714,CUS_4714-1,Galaxy S23,Technical Support,226,Agent_006,Customer reached out regarding screen not working properly - ghost touches happening. Provided troubleshooting steps: tested different brightness levels. resolved. Note: customer seemed unsatisfied.
1/14/2024,CUS_2076,CUS_2076-1,iPhone 15,Technical Support,792,Agent_020,Incoming call - screen problems. Customer reported ghost touches happening. Had them try checked for physical damage. Issue partially resolved but customer was satisfied.
1/15/2024,CUS_2236,CUS_2236-1,iPhone 15,Technical Support,757,Agent_003,Customer reached out regarding screen not working properly - touch sensitivity issues. Provided troubleshooting steps: updated display drivers. escalated. Note: customer seemed satisfied.
1/15/2024,CUS_6036,CUS_6036-1,iPhone 15,Technical Support,232,Agent_018,Customer service call about screen. Main complaint: weird lines across display. Walked them through checked for physical damage. Status: resolved. Customer was unsatisfied with support.
1/16/2024,CUS_8064,CUS_8064-1,iPhone 15,Technical Support,224,Agent_002,screen related call. Customer experiencing half the screen not responding. Suggested checked for physical damage as per protocol. unresolved. Customer feedback: unsatisfied.
1/16/2024,CUS_6954,CUS_6954-1,Galaxy S23,Technical Support,129,Agent_001,Incoming call - camera problems. Customer reported front camera not working. Had them try cleared app cache and data. Issue escalated but customer was somewhat satisfied.
1/16/2024,CUS_6731,CUS_6731-1,iPhone 15,Technical Support,426,Agent_004,Customer service call about battery. Main complaint: won't charge past 20%. Walked them through disabled location services. Status: resolved. Customer was satisfied with support.
1/17/2024,CUS_9795,CUS_9795-1,iPhone 15,Technical Support,600,Agent_010,screen related call. Customer experiencing dead pixels spreading. Suggested checked for physical damage as per protocol. unresolved. Customer feedback: satisfied.
1/17/2024,CUS_9700,CUS_9700-1,iPhone 14,Technical Support,618,Agent_004,Customer service call about battery. Main complaint: wireless charging not working. Walked them through turned off background refresh. Status: resolved. Customer was satisfied with support.
1/17/2024,CUS_5183,CUS_5183-1,iPhone 15,Technical Support,349,Agent_002,Customer service call about battery. Main complaint: shows incorrect battery percentage. Walked them through reset power management. Status: partially resolved. Customer was unsatisfied with support.
1/18/2024,CUS_1991,CUS_1991-1,Galaxy S23,Technical Support,433,Agent_018,Incoming call - screen problems. Customer reported touch really inconsistent. Had them try updated display drivers. Issue escalated but customer was somewhat satisfied.
1/19/2024,CUS_9020,CUS_9020-1,Pixel 8,Technical Support,180,Agent_014,"Cust called about camera issues. Says front camera not working. Walked through checked for latest software updates. unresolved, customer satisfied with result."
1/19/2024,CUS_8295,CUS_8295-1,iPhone 14,Technical Support,189,Agent_008,battery related call. Customer experiencing draining extremely fast. Suggested checked for rogue apps as per protocol. unresolved. Customer feedback: somewhat satisfied.
1/20/2024,CUS_1273,CUS_1273-1,Pixel 8,Technical Support,463,Agent_015,"Cust called about camera issues. Says won't focus at all. Walked through disabled and re-enabled camera. partially resolved, customer somewhat satisfied with result."
1/20/2024,CUS_9484,CUS_9484-1,iPhone 15,Technical Support,402,Agent_019,Customer reached out regarding screen not working properly - ghost touches happening. Provided troubleshooting steps: tested in safe mode. resolved. Note: customer seemed unsatisfied.
1/20/2024,CUS_1045,CUS_1045-1,Galaxy S23,Technical Support,554,Agent_013,Customer reached out regarding camera not working properly - camera app keeps crashing. Provided troubleshooting steps: force stopped and reinstalled camera app. unresolved. Note: customer seemed somewhat satisfied.
1/21/2024,CUS_6386,CUS_6386-1,Galaxy S23,Technical Support,518,Agent_020,screen related call. Customer experiencing ghost touches happening. Suggested checked for screen protector issues as per protocol. partially resolved. Customer feedback: satisfied.
1/21/2024,CUS_7720,CUS_7720-1,iPhone 15,Technical Support,887,Agent_014,Incoming call - screen problems. Customer reported dead pixels spreading. Had them try tested in safe mode. Issue unresolved but customer was satisfied.
1/21/2024,CUS_6861,CUS_6861-1,Galaxy S24,Technical Support,713,Agent_013,Customer reached out regarding screen not working properly - dead pixels spreading. Provided troubleshooting steps: removed recently installed apps. unresolved. Note: customer seemed unsatisfied.
1/22/2024,CUS_1598,CUS_1598-1,Galaxy S24,Technical Support,152,Agent_004,"Cust called about screen issues. Says green tint appearing. Walked through updated display drivers. resolved, customer unsatisfied with result."
1/23/2024,CUS_1246,CUS_1246-1,iPhone 15,Technical Support,389,Agent_016,screen related call. Customer experiencing dead pixels spreading. Suggested updated display drivers as per protocol. unresolved. Customer feedback: somewhat satisfied.
1/23/2024,CUS_3016,CUS_3016-1,iPhone 15,Technical Support,782,Agent_013,screen related call. Customer experiencing screen flickers constantly. Suggested removed recently installed apps as per protocol. escalated. Customer feedback: somewhat satisfied.
1/23/2024,CUS_9328,CUS_9328-1,iPhone 15,Technical Support,648,Agent_012,Incoming call - screen problems. Customer reported dead pixels spreading. Had them try adjusted touch sensitivity. Issue partially resolved but customer was somewhat satisfied.
1/24/2024,CUS_1414,CUS_1414-1,iPhone 15,Technical Support,361,Agent_005,camera related call. Customer experiencing videos are choppy. Suggested checked for latest software updates as per protocol. unresolved. Customer feedback: somewhat satisfied.
1/24/2024,CUS_8391,CUS_8391-1,iPhone 15,Technical Support,772,Agent_004,screen related call. Customer experiencing touch really inconsistent. Suggested checked for screen protector issues as per protocol. partially resolved. Customer feedback: somewhat satisfied.
1/25/2024,CUS_8254,CUS_8254-1,iPhone 15,Technical Support,130,Agent_002,camera related call. Customer experiencing night mode not working. Suggested factory reset device as per protocol. unresolved. Customer feedback: satisfied.
1/25/2024,CUS_9734,CUS_9734-1,iPhone 15,Technical Support,259,Agent_016,"Cust called about screen issues. Says screen flickers constantly. Walked through reset touch calibration. partially resolved, customer unsatisfied with result."
1/25/2024,CUS_1772,CUS_1772-1,iPhone 15,Technical Support,892,Agent_019,Customer reached out regarding screen not working properly - green tint appearing. Provided troubleshooting steps: adjusted touch sensitivity. resolved. Note: customer seemed satisfied.
1/26/2024,CUS_9963,CUS_9963-1,Galaxy S24,Technical Support,590,Agent_017,Customer service call about battery. Main complaint: shuts down randomly at 50%. Walked them through turned off background refresh. Status: escalated. Customer was unsatisfied with support.
1/26/2024,CUS_1104,CUS_1104-1,iPhone 15,Technical Support,524,Agent_020,Customer service call about screen. Main complaint: half the screen not responding. Walked them through tested in safe mode. Status: resolved. Customer was somewhat satisfied with support.
1/26/2024,CUS_6981,CUS_6981-1,iPhone 15,Technical Support,372,Agent_014,Customer service call about screen. Main complaint: half the screen not responding. Walked them through tested in safe mode. Status: escalated. Customer was satisfied with support.
1/27/2024,CUS_4141,CUS_4141-1,iPhone 15,Technical Support,892,Agent_010,"Cust called about screen issues. Says ghost touches happening. Walked through tested in safe mode. unresolved, customer somewhat satisfied with result."
1/27/2024,CUS_1791,CUS_1791-1,Galaxy S23,Technical Support,430,Agent_019,Customer service call about camera. Main complaint: making clicking noise when opening app. Walked them through verified third-party app conflicts. Status: escalated. Customer was unsatisfied with support.
1/27/2024,CUS_1786,CUS_1786-1,Galaxy S23,Technical Support,391,Agent_012,Customer service call about camera. Main complaint: videos are choppy. Walked them through force stopped and reinstalled camera app. Status: escalated. Customer was unsatisfied with support.
1/28/2024,CUS_4791,CUS_4791-1,iPhone 14,Technical Support,710,Agent_002,Incoming call - screen problems. Customer reported touch really inconsistent. Had them try checked for screen protector issues. Issue resolved but customer was somewhat satisfied.
1/28/2024,CUS_7500,CUS_7500-1,iPhone 15,Technical Support,804,Agent_002,camera related call. Customer experiencing won't focus at all. Suggested factory reset device as per protocol. partially resolved. Customer feedback: unsatisfied.
1/28/2024,CUS_1530,CUS_1530-1,iPhone 14,Technical Support,846,Agent_016,"Cust called about battery issues. Says won't charge past 20%. Walked through adjusted screen brightness. partially resolved, customer satisfied with result."
1/29/2024,CUS_3258,CUS_3258-1,iPhone 15,Technical Support,840,Agent_011,Incoming call - camera problems. Customer reported night mode not working. Had them try force stopped and reinstalled camera app. Issue unresolved but customer was satisfied.
1/29/2024,CUS_2320,CUS_2320-1,iPhone 14,Technical Support,817,Agent_008,Incoming call - screen problems. Customer reported screen flickers constantly. Had them try adjusted touch sensitivity. Issue unresolved but customer was somewhat satisfied.
1/30/2024,CUS_6777,CUS_6777-1,Galaxy S24,Technical Support,397,Agent_018,Customer reached out regarding screen not working properly - ghost touches happening. Provided troubleshooting steps: updated display drivers. resolved. Note: customer seemed somewhat satisfied.
1/30/2024,CUS_4100,CUS_4100-1,iPhone 15,Technical Support,864,Agent_003,Customer reached out regarding camera not working properly - front camera not working. Provided troubleshooting steps: cleared app cache and data. partially resolved. Note: customer seemed somewhat satisfied.
1/31/2024,CUS_2445,CUS_2445-1,iPhone 15,Technical Support,612,Agent_002,camera related call. Customer experiencing won't focus at all. Suggested disabled and re-enabled camera as per protocol. partially resolved. Customer feedback: satisfied.
2/1/2024,CUS_2603,CUS_2603-1,iPhone 15,Technical Support,565,Agent_008,"Cust called about screen issues. Says dead pixels spreading. Walked through adjusted touch sensitivity. escalated, customer unsatisfied with result."
2/1/2024,CUS_8102,CUS_8102-1,iPhone 15,Technical Support,815,Agent_012,Customer reached out regarding screen not working properly - green tint appearing. Provided troubleshooting steps: reset touch calibration. escalated. Note: customer seemed somewhat satisfied.
2/2/2024,CUS_2363,CUS_2363-1,iPhone 14,Technical Support,562,Agent_011,camera related call. Customer experiencing night mode not working. Suggested cleared app cache and data as per protocol. unresolved. Customer feedback: satisfied.
2/3/2024,CUS_1129,CUS_1129-1,Pixel 8,Technical Support,798,Agent_002,Customer reached out regarding battery not working properly - not detecting charger. Provided troubleshooting steps: turned off background refresh. partially resolved. Note: customer seemed unsatisfied.
2/3/2024,CUS_1344,CUS_1344-1,iPhone 14,Technical Support,371,Agent_009,screen related call. Customer experiencing weird lines across display. Suggested reset touch calibration as per protocol. unresolved. Customer feedback: satisfied.
2/4/2024,CUS_4681,CUS_4681-1,Pixel 8,Technical Support,655,Agent_004,screen related call. Customer experiencing dead pixels spreading. Suggested adjusted touch sensitivity as per protocol. escalated. Customer feedback: satisfied.
2/4/2024,CUS_6534,CUS_6534-1,iPhone 15,Technical Support,627,Agent_007,screen related call. Customer experiencing dead pixels spreading. Suggested reset touch calibration as per protocol. unresolved. Customer feedback: satisfied.
2/4/2024,CUS_9805,CUS_9805-1,iPhone 14,Technical Support,207,Agent_005,battery related call. Customer experiencing wireless charging not working. Suggested disabled location services as per protocol. resolved. Customer feedback: satisfied.
2/5/2024,CUS_2503,CUS_2503-1,iPhone 15,Technical Support,423,Agent_007,Customer service call about battery. Main complaint: wireless charging not working. Walked them through adjusted screen brightness. Status: escalated. Customer was satisfied with support.
2/5/2024,CUS_3704,CUS_3704-1,Galaxy S23,Technical Support,552,Agent_005,Customer reached out regarding battery not working properly - draining extremely fast. Provided troubleshooting steps: checked for rogue apps. resolved. Note: customer seemed somewhat satisfied.
2/5/2024,CUS_9425,CUS_9425-1,iPhone 14,Technical Support,698,Agent_013,Customer service call about battery. Main complaint: dies within an hour. Walked them through adjusted screen brightness. Status: partially resolved. Customer was satisfied with support.
2/6/2024,CUS_6623,CUS_6623-1,Galaxy S24,Technical Support,809,Agent_001,"Cust called about camera issues. Says night mode not working. Walked through checked for latest software updates. resolved, customer satisfied with result."
2/7/2024,CUS_2083,CUS_2083-1,iPhone 15,Technical Support,465,Agent_018,"Cust called about screen issues. Says weird lines across display. Walked through reset touch calibration. escalated, customer somewhat satisfied with result."
2/8/2024,CUS_2267,CUS_2267-1,Pixel 8,Technical Support,775,Agent_013,"Cust called about battery issues. Says draining extremely fast. Walked through reset power management. partially resolved, customer somewhat satisfied with result."
2/8/2024,CUS_5712,CUS_5712-1,Galaxy S24,Technical Support,422,Agent_010,Customer service call about camera. Main complaint: showing black screen only. Walked them through restored default camera config. Status: partially resolved. Customer was satisfied with support.
2/8/2024,CUS_7112,CUS_7112-1,Galaxy S24,Technical Support,341,Agent_001,Customer service call about battery. Main complaint: won't charge past 20%. Walked them through turned off background refresh. Status: unresolved. Customer was unsatisfied with support.
2/9/2024,CUS_2010,CUS_2010-1,iPhone 15,Technical Support,794,Agent_009,Customer service call about battery. Main complaint: shuts down randomly at 50%. Walked them through checked for rogue apps. Status: partially resolved. Customer was unsatisfied with support.
2/9/2024,CUS_3268,CUS_3268-1,iPhone 15,Technical Support,666,Agent_014,Customer service call about screen. Main complaint: ghost touches happening. Walked them through reset touch calibration. Status: partially resolved. Customer was satisfied with support.
2/9/2024,CUS_9691,CUS_9691-1,iPhone 15,Technical Support,754,Agent_011,"Cust called about screen issues. Says touch sensitivity issues. Walked through checked for physical damage. partially resolved, customer satisfied with result."
2/10/2024,CUS_6965,CUS_6965-1,iPhone 15,Technical Support,616,Agent_007,Customer service call about screen. Main complaint: half the screen not responding. Walked them through reset touch calibration. Status: escalated. Customer was unsatisfied with support.
2/10/2024,CUS_8406,CUS_8406-1,Pixel 8,Technical Support,165,Agent_019,Incoming call - camera problems. Customer reported camera app keeps crashing. Had them try cleared app cache and data. Issue resolved but customer was somewhat satisfied.
2/11/2024,CUS_8857,CUS_8857-1,iPhone 15,Technical Support,898,Agent_016,Customer reached out regarding screen not working properly - green tint appearing. Provided troubleshooting steps: checked for physical damage. unresolved. Note: customer seemed satisfied.
2/12/2024,CUS_2510,CUS_2510-1,Galaxy S23,Technical Support,351,Agent_013,Incoming call - camera problems. Customer reported flash not functioning. Had them try disabled and re-enabled camera. Issue resolved but customer was unsatisfied.
2/13/2024,CUS_3620,CUS_3620-1,iPhone 15,Technical Support,535,Agent_011,"Cust called about screen issues. Says dead pixels spreading. Walked through reset touch calibration. unresolved, customer unsatisfied with result."
2/14/2024,CUS_9703,CUS_9703-1,iPhone 15,Technical Support,298,Agent_013,Customer reached out regarding camera not working properly - night mode not working. Provided troubleshooting steps: checked for latest software updates. partially resolved. Note: customer seemed somewhat satisfied.
2/14/2024,CUS_9185,CUS_9185-1,Galaxy S23,Technical Support,871,Agent_018,Incoming call - screen problems. Customer reported touch sensitivity issues. Had them try checked for physical damage. Issue partially resolved but customer was somewhat satisfied.
2/15/2024,CUS_9633,CUS_9633-1,Galaxy S23,Technical Support,690,Agent_009,Incoming call - screen problems. Customer reported weird lines across display. Had them try reset touch calibration. Issue escalated but customer was satisfied.
2/15/2024,CUS_9060,CUS_9060-1,iPhone 15,Technical Support,666,Agent_009,"Cust called about screen issues. Says half the screen not responding. Walked through tested different brightness levels. escalated, customer unsatisfied with result."
2/16/2024,CUS_9799,CUS_9799-1,iPhone 14,Technical Support,539,Agent_011,Incoming call - battery problems. Customer reported draining extremely fast. Had them try adjusted screen brightness. Issue partially resolved but customer was somewhat satisfied.
2/17/2024,CUS_5090,CUS_5090-1,iPhone 14,Technical Support,334,Agent_017,camera related call. Customer experiencing showing black screen only. Suggested verified third-party app conflicts as per protocol. unresolved. Customer feedback: unsatisfied.
2/17/2024,CUS_3509,CUS_3509-1,iPhone 15,Technical Support,369,Agent_003,Customer service call about screen. Main complaint: touch really inconsistent. Walked them through tested different brightness levels. Status: unresolved. Customer was satisfied with support.
2/17/2024,CUS_5566,CUS_5566-1,iPhone 15,Technical Support,197,Agent_019,Customer service call about screen. Main complaint: weird lines across display. Walked them through adjusted touch sensitivity. Status: unresolved. Customer was somewhat satisfied with support.
2/18/2024,CUS_3761,CUS_3761-1,Galaxy S23,Technical Support,529,Agent_018,"Cust called about screen issues. Says dead pixels spreading. Walked through checked for screen protector issues. escalated, customer unsatisfied with result."
2/18/2024,CUS_2898,CUS_2898-1,iPhone 15,Technical Support,173,Agent_012,screen related call. Customer experiencing weird lines across display. Suggested tested in safe mode as per protocol. partially resolved. Customer feedback: satisfied.
2/19/2024,CUS_6168,CUS_6168-1,Pixel 8,Technical Support,806,Agent_001,camera related call. Customer experiencing front camera not working. Suggested verified third-party app conflicts as per protocol. partially resolved. Customer feedback: satisfied.
2/19/2024,CUS_1849,CUS_1849-1,iPhone 14,Technical Support,705,Agent_019,"Cust called about camera issues. Says front camera not working. Walked through verified third-party app conflicts. resolved, customer satisfied with result."
2/20/2024,CUS_7384,CUS_7384-1,iPhone 15,Technical Support,870,Agent_004,Customer service call about screen. Main complaint: green tint appearing. Walked them through reset touch calibration. Status: unresolved. Customer was satisfied with support.
2/20/2024,CUS_7489,CUS_7489-1,Galaxy S24,Technical Support,771,Agent_020,Customer service call about screen. Main complaint: green tint appearing. Walked them through removed recently installed apps. Status: partially resolved. Customer was unsatisfied with support.
2/21/2024,CUS_8344,CUS_8344-1,iPhone 14,Technical Support,761,Agent_007,battery related call. Customer experiencing shuts down randomly at 50%. Suggested checked for rogue apps as per protocol. resolved. Customer feedback: satisfied.
2/21/2024,CUS_9945,CUS_9945-1,iPhone 15,Technical Support,679,Agent_018,Incoming call - screen problems. Customer reported dead pixels spreading. Had them try tested in safe mode. Issue unresolved but customer was satisfied.
2/21/2024,CUS_9631,CUS_9631-1,iPhone 15,Technical Support,174,Agent_004,Customer reached out regarding screen not working properly - touch sensitivity issues. Provided troubleshooting steps: tested different brightness levels. resolved. Note: customer seemed satisfied.
2/22/2024,CUS_3296,CUS_3296-1,iPhone 15,Technical Support,633,Agent_003,Incoming call - screen problems. Customer reported screen flickers constantly. Had them try adjusted touch sensitivity. Issue partially resolved but customer was unsatisfied.
